id,sweep_init_time,pop_radius_at_sweep_init
00000000a,0,0
00000000aa,0,0
00000001a,0,0
00000001aa,0,0
00000002a,0,0
00000002aa,0,0
00000003a,0,0
00000003aa,0,0
00000004a,0,0
00000004aa,0,0
00000005a,0,0
00000005aa,0,0
00000006a,0,0
00000006aa,0,0
00000007a,0,0
00000007aa,0,0
00000008a,0,0
00000008aa,0,0
00000009a,0,0
00000009aa,0,0
0000000Aa,557.943909,72.31537264
0000000Aaa,0,0
0000000Ba,0,0
0000000Baa,0,0
0000000Ca,0,0
0000000Caa,0,0
0000000Da,0,0
0000000Daa,0,0
0000000Ea,0,0
0000000Eaa,0,0
0000000Fa,0,0
0000000Faa,0,0
00000010a,0,0
00000010aa,0,0
00000011a,0,0
00000011aa,0,0
00000012a,0,0
00000012aa,0,0
00000013a,0,0
00000013aa,0,0
00000014a,0,0
00000014aa,0,0
00000015a,0,0
00000015aa,0,0
00000016a,0,0
00000016aa,0,0
00000017a,0,0
00000017aa,0,0
00000018a,0,0
00000018aa,0,0
00000019a,0,0
00000019aa,0,0
0000001Aa,0,0
0000001Aaa,0,0
0000001Ba,0,0
0000001Baa,0,0
0000001Ca,0,0
0000001Caa,0,0
0000001Da,0,0
0000001Daa,0,0
0000001Ea,0,0
0000001Eaa,0,0
0000001Fa,0,0
0000001Faa,0,0
00000020a,0,0
00000020aa,0,0
00000021a,0,0
00000021aa,0,0
00000022a,0,0
00000022aa,0,0
00000023a,0,0
00000023aa,0,0
00000024a,0,0
00000024aa,0,0
00000025a,0,0
00000025aa,0,0
00000026a,0,0
00000026aa,0,0
00000027a,0,0
00000027aa,0,0
00000028a,0,0
00000028aa,0,0
00000029a,0,0
00000029aa,0,0
0000002Aa,0,0
0000002Aaa,0,0
0000002Ba,0,0
0000002Baa,0,0
0000002Ca,0,0
0000002Caa,0,0
0000002Da,0,0
0000002Daa,0,0
0000002Ea,0,0
0000002Eaa,0,0
0000002Fa,0,0
0000002Faa,94.584518,9.097283683
00000030a,0,0
00000030aa,0,0
00000031a,0,0
00000031aa,0,0
00000032a,0,0
00000032aa,0,0
00000033a,0,0
00000033aa,0,0
00000034a,0,0
00000034aa,0,0
00000035a,0,0
00000035aa,0,0
00000036a,0,0
00000036aa,0,0
00000037a,0,0
00000037aa,0,0
00000038a,0,0
00000038aa,0,0
00000039a,0,0
00000039aa,0,0
0000003Aa,0,0
0000003Aaa,0,0
0000003Ba,0,0
0000003Baa,0,0
0000003Ca,0,0
0000003Caa,0,0
0000003Da,0,0
0000003Daa,0,0
0000003Ea,0,0
0000003Eaa,0,0
0000003Fa,0,0
0000003Faa,0,0
00000040a,0,0
00000040aa,0,0
00000041a,0,0
00000041aa,0,0
00000042a,0,0
00000042aa,389.573669,45.57730046
00000043a,0,0
00000043aa,0,0
00000044a,0,0
00000044aa,0,0
00000045a,0,0
00000045aa,0,0
00000046a,0,0
00000046aa,0,0
00000047a,0,0
00000047aa,0,0
00000048a,0,0
00000048aa,0,0
00000049a,289.207947,38.87589664
00000049aa,0,0
0000004Aa,0,0
0000004Aaa,0,0
